Timestamp,Are you a student or faculty/staff member at SFUHS?,What is your age?,What grade are you in?,How closely do you follow local (San Francisco) politics?,How closely do you follow federal politics?,How much influence do you feel you have in local elections?,How much influence do you feel you have in federal elections?,How often do your political views align with your parents or guardians?,Would you support lowering the local voting age to 16 in San Francisco?,Would you support lowering the federal voting age to 16?,Briefly explain your answers above.,"If you could vote in SF city elections right now, how likely would you be to vote?",Do you think SF 16–18 year olds are informed/mature enough to make local voting decisions?,Do you think SF 16–18 year olds are informed/mature enough to make federal voting decisions?,"Write anything you know about the current SF mayor -  their agenda, priorities, or recent activity. No worries if you don't know much.",Where do you primarily get your news from? (Select all that apply),What subject area do you primarily teach or work in?,How many years have you worked in education?,How closely do you follow local (San Francisco) politics?,How closely do you follow federal politics?,Would you support lowering the local voting age to 16 in San Francisco?,Would you support lowering the federal voting age to 16?,Briefly explain your answers above.,"Based on your experience with your students, do you think 16–18 year olds are informed and mature enough to make local voting decisions?","Based on your experience with your students, do you think 16–18 year olds are informed and mature enough to make federal voting decisions?",Briefly explain your reasoning on student voting readiness.,What civic knowledge or skills do you think matter most for voting decisions?,Where do you primarily get your news from? (Select all that apply)
4/20/2026 8:42:33,Faculty or Staff,Adult,,4,4,,,,No,No,,,,,,,Language,11–20,4,4,No,No,"I think presuming the equivalent of a public education prior to voting is a reasonable prerequisite, although I concede that the age requirement only gets at that indirectly.",3,3,"Some are informed, some are not. The same is true of people 18+, however.","Knowledge of how the government is structured and functions, as well as the skill of evaluating claims based on evidence. People need to have the ability to think critically about what politicians say and propose.","Social media (TikTok, Instagram, X), Podcasts, Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 8:42:35,Student,15,9,5,5,1,1,3,Yes,Yes,I believe that high school students have the formed frontal lobe enough to vote.,5,5,5,,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 8:42:58,Student,17,11,1,1,1,1,5,Unsure,No,"I feel like it's based on me, not by the system. I personally don't follow current events or politics that closely, so I don't feel like I'm educated enough to have my own opinion.",1,3,2,no idea lmao,"Social media (TikTok, Instagram, X), Family or friends, School",,,,,,,,,,,,
4/20/2026 8:45:54,Faculty or Staff,Adult,,4,5,,,,Yes,Yes,,,,,,,Fundraising,6–10,4,5,Yes,Yes,There is far more access to information today than in the past. ,4,4,N/A,empathy,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 8:46:00,Faculty or Staff,Adult,,3,4,,,,Yes,Unsure,,,,,,,Admin,20+,3,4,Yes,Unsure,"I trust the local scene to handle this change appropriately; I worry about what could happen to students in other parts of the country -- would they feel safe dissenting, disagreeing with their parents, etc.?",4,4,"It depends on the student, of course!",,"Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 8:46:02,Student,17,11,3,3,1,2,3,Unsure,Unsure,I dont think ppl that young are educated enough to vote but at the same time more educated than a lot of other adults in america,4,3,2,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 8:46:19,Student,16,10,2,3,1,1,5,Unsure,Unsure, ,4,4,3,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,,,,,,,,
4/20/2026 8:47:55,Student,15,9,3,5,1,1,3,Yes,Yes,I think that they know what they want,5,5,3,Daniel Lurie. Trying to revive SF economy as it was damaged by a post-covid image.,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 8:56:35,Student,15,9,4,5,1,1,2,Yes,Yes,"I think teenagers are already very aware of who they are and what they want. Especially since so many things we vote on directly influence students/teenagers. I think people have a pretty good understanding of whats happening around them and how they feel about that from an early age. Even if they aren't 100% informed, they still know on a general level what they want and can use that to determine who they want to vote for or how they want to vote.",5,4,5,He wants to make the city cleaner and safer and I think he's been doing a pretty good job at that. He wants to connect to the people of the city and I think he's doing well at that as well. I think he also wants to make housing more affordable and get our homelessness crisis down. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School, Other",,,,,,,,,,,,
4/20/2026 9:00:26,Student,16,10,4,4,1,1,4,Yes,Unsure,"I think that children should be able to decide on local voting issues because it impacts them on a day to day basis.

I am more reluctant towards the federal issues because there is a lot of misinformation that goes around, especially on social media, regarding voter issues.",5,4,2,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 9:02:34,Student,15,9,5,3,1,1,5,Yes,Yes,i think that if we can dirve we can vote,5,5,5,he is very big on sf culture and he is a democrat but not a very left lening one,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 9:03:53,Student,17,11,2,3,3,1,4,No,No,Kids arent mature enough and are too busy with school,3,2,2,Rich - Fund Police - Revitilize Downtown - Social Media Prescense ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 9:10:07,Student,17,12,2,2,3,1,4,No,No,terribly idea bro i know too many 16 year olds. lowk raise the voting age,5,1,1,his name is daniel lurie and he makes a lot of tiktoks,"Social media (TikTok, Instagram, X), Family or friends",,,,,,,,,,,,
4/20/2026 9:12:49,Student,16,11,2,3,1,2,4,No,No,"I think that people who are 16 are very easily influenced by the people around them, as well as the media. I think that at such a young age kids are not truly able to develop their own opinions through one, constant pressure from peers and the media. As well as the idea of consequences if you vote for the ""wrong thing"" or ""wrong person.""",1,1,1,,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 9:13:27,Faculty or Staff,Adult,,4,5,,,,No,No,,,,,,,History,20+,4,5,No,No,I think 16 year olds lack the education to be independent voters. ,3,3,"Some are ready, some are not. Lack of education is the main reason.","I think everyone, not just young people, need to understand what they are voting for. Most people vote based on feeling rather than careful consideration of what they are voting for. This is why we get a lot of people, say, the day after Brexit or the 2024 Trump election already regretting their choice. I have no patience for the phrase, ""If I had known...""  ","Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 9:15:52,Faculty or Staff,Adult,,3,5,,,,No,No,,,,,,,Sciences,6–10,3,5,No,No,The pre-frontal cortex hasn't fully developed.  Judgement of 16 year olds is notoriously limited and easily swayed.  We have enough problems with voters of legal age being politically uneducated without adding a younger class.,1,1,The pre-frontal cortex hasn't fully developed.  Judgement of 16 year olds is notoriously limited and easily swayed. ,Awareness of issues beyond party affiliation.  Willingness to look at implications of decisions.  Understanding the role of the offices being voted for.,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends"
4/20/2026 9:20:39,Student,15,9,3,2,1,1,5,Yes,Yes,I think lowering the voting age to 16 would be completely beneficial given that our decision will effect our lives and we should be able to have a say in it. ,5,4,4,I don't know much since I don't live in SF but if I did I'm sure I would be more informed. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 9:21:45,Student,17,12,2,4,3,2,3,Yes,Yes,"I think more people being involved in politics would be ideal. With that said when the voting age was lowered to 18 most 18 year olds didn't vote anyways so I think it's more important to get more people involved and informed about politics in the first place rather than necessarily lowering the voting age, though I still wouldn't oppose it.",5,4,4,"Wants to clean up crime, improve the housing situation (though not necessarily always through the right means), tried to straddle the line with the whole union/public schools situation and did ok I think.","YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 9:26:36,Faculty or Staff,Adult,,4,4,,,,Yes,Yes,,,,,,,Admin,20+,4,4,Yes,Yes,"I think there is context to these answers, but ultimately, I believe young people are capable of making choices for themselves when it comes to elections and other political happenings. My biggest concern is that society do a better job at preparing young people for using their vote in the way that best suits them. Right now, and always, the amount of deceit and half truths that go out during campaigns is hard to sift through, even for experienced voters. So, I think creating a system to make sure all people, but especially young people are able to get accurate information that allows them to vote for their needs is most important.",4,3,Every person if different in how they consume media. Figuring out what is true and accurate is what is most important.,Having an understanding of the impacts of what a vote means. I don't think people vote with a clear understanding of what each ballot means to their needs.,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends"
4/20/2026 9:40:25,Faculty or Staff,Adult,,5,5,,,,Yes,No,,,,,,,History,20+,5,5,Yes,No,"I am less convinced that the average American teenager (across the country) is informed enough to weigh in on national issues, but I also don't think the national adult population is appropriately informed either....",3,3,"This echoes my earlier comment, but most Americans need more information to make informed voting decisions, not just teens.","an understanding of the way that government works, engagement with a broad range of perspectives and well developed skills of listening and criticial thinking. ","Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends"
4/20/2026 9:42:18,Faculty or Staff,Adult,,3,2,,,,Unsure,No,,,,,,,Sciences,6–10,3,2,Unsure,No,Children are often under the influence of their home environments. Child voting would double count some idealogies under some households. Children also are not developmentally mature enough to limit many of their biases from their home environments.,2,2,"Children have some idea of how ballot measures and govt officials affect them, but they do not understand all broader aspects. On the federal level, children do not have the broader mindset and experiences to consider the whole effects unless they are given that information.","Empathy, constitutional rights and amendments, social justice, history of how American politics have affected many types of people.","Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends"
4/20/2026 9:54:48,Student,17,12,4,4,1,1,4,Unsure,Unsure,idk,5,4,3,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 9:57:47,Student,15,9,2,3,2,3,5,Yes,Yes,No,5,5,5,Daniel lurieeee my goat,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 10:04:38,Faculty or Staff,Adult,,5,5,,,,Unsure,Unsure,,,,,,,Arts,6–10,5,5,Unsure,Unsure,"I'm not always certain of the preparedness to vote from the general electorate of folks above the age of 18, so I'm not optimistic that lowering the age required to vote would be the solution to positive change. ",1,1,I think that my experience with students at UHS isn't representative/data oriented in a way where I can give a clear assessment.,Knowledge of impact/effectiveness from a data oriented perspective of various legislation initiatives that connect to values you believe in.,"Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 10:09:47,Faculty or Staff,Adult,,4,5,,,,Yes,Yes,,,,,,,Language,20+,4,5,Yes,Yes,"The earlier that citizens engage in determining their future via politics, the better. ",3,3,"Because they do not have the right to vote, they disengage. Knowing that they will vote will propel them to know how their lives may be impacted negatively if they are not informed. ","Community engagement is crucial for understanding what is happening in the city. On a national level, reading news not on IG - reliable news - is critical. ","Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 10:14:38,Student,16,10,2,4,2,4,4,Yes,No,"I feel like the youth have a lot of involvement in local politics, and would make more of an impact in local politics. Also, I think that it’s better that voters are older when they vote federally because they have more experience and it impacts the country as a whole.",4,2,3,,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 10:26:16,Student,16,10,3,4,2,1,3,Yes,Yes,"I feel like it is good nowadays that a lot of people, especially with social media at 16, have distinct, unique opinions that they could share by voting. ",5,4,3,I know he is a Democrat. I know he has a lot of progressive policies and is focusing on cleaning up the drug and homelessness. ,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,,,,,,,,
4/20/2026 11:13:07,Student,17,11,3,5,1,1,4,No,No,No reason you are too young,4,2,2,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 11:17:40,Student,17,11,2,3,1,1,5,No,No,I don't feel adequately educated.,1,1,1,The current SF mayor is Daniel Lurie and he's been doing a lot to address homelessness in the city.,"Family or friends, School",,,,,,,,,,,,
4/20/2026 11:18:38,Student,16,11,2,2,1,1,4,No,No,"I am not politically active or educated enough. Also, children are so gullible and hormonal and politicians would easily use them to their advantage. ",2,2,2,From what I know Lurie is a more moderate democrat. ,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 11:22:44,Faculty or Staff,Adult,,3,4,,,,No,No,,,,,,,History,20+,3,4,No,No,"I think there are already too many underinformed voters, and would not support this unless it were part of a larger program of voter education.",3,2,"voting age is arbitrary anyway (used to be 21 until the Vietnam War), but this just strikes me as giving people without that much information or background a power that they don't quite understand",being informed and thoughtful and not making knee-jerk decisions,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends"
4/20/2026 11:27:32,Student,16,10,2,2,1,1,5,No,No,16 year olds not responsible enough,5,1,1,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 11:29:08,Student,16,10,5,3,3,1,4,No,No,People who are under 18 do not have the maturity to make their own decisions rather than be influenced by those around him. ,5,2,1,I know that overall his agenda is to try and bring the city back to life. He so far has started by putting his effort into cleaning up the city and trying to solve the homeless and drug problem. Overall he has promised to balance the budget will hopefully be able to make significant budget cuts. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 11:31:53,Faculty or Staff,Adult,,3,4,,,,Yes,Yes,,,,,,,Sciences,11–20,3,4,Yes,Yes,"Youth deserve a vote! If you can work, drive, etc. you deserve to vote for people and policies that impact your working rights, infrastructure, etc.!",3,4,"Mature enough, yes typically. But often students are simply not well-informed on politics,  especially local issues - I suspect because they have no buy-in without a vote!! If they knew they could vote, they would pay more attention.","Students need a general understanding of geography & populations locally and nationally.

They need an understanding of their rights, especially voting rights. They need an understanding of the positions that are open for election and what those roles contribute to the city, state, and federal government.

I don't think they need to know voting trends, but rather need to be informed about the current candidates through unbiased profiles and also given unbiased description of the Props. California and SF has more proposals than I've ever seen on other state/city ballots, so digesting all that can be really hard!","Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 11:41:36,Student,15,10,2,2,2,2,5,Yes,Yes,I think its important for everyones voices to be heard and at age 16 I think it is a good age.,2,3,3,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,,,,,,,,
4/20/2026 11:54:29,Student,15,9,2,3,1,1,5,Yes,Unsure,I feel like many federal voters would not do proper research and would vote in ignorance which is dangerous but the youth is also part of society and deserves to have a say.,5,3,3,my friends dad and voting no to prop 7 or something like that and ya,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 11:56:06,Student,17,11,3,3,2,1,4,Unsure,No,"I do belive that 18 is a good age to vote federally, and I think that sophmores in HS may be a little young, especially if they are not as informed/ more easily influenced by enviornments then actual opinions. ",5,2,1,I think he's donig a great job with exposure and action on issues he said he would help with as well as getting SF back as a thriving city. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 11:58:07,Student,17,11,2,2,1,1,5,No,No,No. I don't think 16 and 17 year olds are quite ready to do their own research and come to their own conclusions. ,3,2,2,I know that he shows up for everything to increase moral and to make sure things get done. He is an optimist. ,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 12:05:09,Student,16,10,1,2,1,1,5,Unsure,No,18 still feels like the reasonable age,5,2,3,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 12:08:44,Student,17,12,3,4,1,2,4,No,No,"less developed prefrontal cortex, even more vulnerable to manipulation and polarizing influence --> less rational populus",5,2,1,"mayor daniel lurie’s basically running on a ""common-sense"" moderate scheme rn, mostly focused on cleaning up the streets and making city hall more efficient. his big north star is public safety, so he’s pushing for more shelter beds and a crack down on the fentanyl crisis and sideshows. he’s also trying to revive downtown by turning empty offices into housing and even launched a ""family opportunity"" plan for things like free childcare. honestly, he’s got a massive $643 million budget deficit to deal with, so he’s making some tough cuts while also pitching a major ballot measure for the fall to overhaul how the city's charter works.","Social media (TikTok, Instagram, X), Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 12:21:04,Student,15,9,4,5,3,3,5,Yes,Yes,Sixteen year olds should have enough level of understanding to vote. Plenty of adults who are not educated on elections are allowed to.,5,4,3,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School, Other",,,,,,,,,,,,
4/20/2026 12:36:57,Faculty or Staff,Adult,,4,4,,,,Yes,Unsure,,,,,,,Mathematics,20+,4,4,Yes,Unsure,Growing up (and frequently visiting family) in rural Washington State has helped me appreciate just how well read and involved San Francisco based teens are in local political and national/global social justice movements in ways that don't exist everywhere in our country. ,5,3,Same explanation as above!,Empathy,"Traditional news (NYT, WSJ, SF Chronicle), Other"
4/20/2026 12:41:28,Student,17,11,2,4,1,1,4,Yes,Yes,Because 2 years is not a lot of time and it would allow younger people a voice when they are the future. ,5,3,5,Ik the mayor is rly cleaning up downtown,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 13:11:42,Student,15,9,1,3,1,1,5,Yes,No,16 year olds are mature enough to for their city elections but not for federal elections.,4,4,2,The mayor is democratic and his name is Daniel Lurie,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 13:26:01,Student,15,9,4,5,1,1,4,No,No,"I think not because 18 is the perfect age. those in army can vote and any younger, i don't think we are ready.",3,1,3,,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 13:33:20,Student,14,9,5,5,1,1,1,No,No,"Because the pre-frontal cortex isn't fully developed by age 16, and I think the legal voting age should be 18+ still, because you will have at least a completed high school education, and education is valuable to political voice and opinion",5,4,4,"I know that Daniel Lurie focuses on lowering homelessness rates in San Francisco,  promoting San Francisco tourism by advertising and advocating for small business establishments in SF, and lowering crime/illegal drug rates.","YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 13:46:59,Student,17,11,4,4,1,1,5,No,Yes,"I feel like local politics have greater effect on my everyday life than federal politics do. As a result, I'd prefer if the local votes were kept at 18 (so people are less likely to make snap judgements and be influenced by their peers).",5,2,4,Daniel Lurie! Supporting small businesses and moving away from DEI work to focus on actually improving schools etc,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 14:12:57,Student,16,10,3,4,2,2,3,Yes,No,"I think it would be fine for the age of local voters to be under 18, as they contribute more to city policies, but we don’t contribute to federal ",5,5,4,"His name is Daniel Lurie, his daughter goes to UHS, he’s generally pretty public ","Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 14:47:30,Student,17,11,2,3,2,1,5,Unsure,No,some people may be too uneducated to vote and would be mostly influenced by their parents,4,4,3,,"Social media (TikTok, Instagram, X), YouTube, Family or friends, School",,,,,,,,,,,,
