id,role,age,grade,follow_local,follow_federal,influence_local,influence_federal,align_parents,support_local_16,support_federal_16,explanation,likelihood_vote,informed_local,informed_federal,mayor_knowledge_text,news_sources,subject,years_in_ed,civic_skills_text,reasoning_text,mayor_knowledge_score,reasoning_depth_score,faculty_reasoning_score,civic_skills_score,engagement_index,civic_literacy_index,mayor_knowledge_band,news_diversity,support_pattern
66,Student,17.0,11.0,2.0,3.0,2.0,1.0,5.0,Unsure,No,some people may be too uneducated to vote and would be mostly influenced by their parents,4.0,4.0,3.0,,"Social media (TikTok, Instagram, X), YouTube, Family or friends, School",,,,,0.0,1.64,,0.0,50.0,15.1,None (0),4,Mixed/Unsure
67,Student,15.0,9.0,4.0,4.0,3.0,1.0,4.0,Yes,Yes,I feel as if the youth in general don’t have much to any say in all politics. It difficult to be taken seriously or have anyone listen to you. Changing the age would give some say to the younger community.,5.0,3.0,4.0,I currently do not closely follow the SF mayor. I did see he was recently in Beijing meeting with Chinese officials. He also has brought many new shops and events to SF. He is also trying to revamp downtown to what I have heard ,"Social media (TikTok, Instagram, X)",,,,,2.0,2.64,,0.0,83.3,36.0,Low (0.1-2.9),1,Both
68,Student,14.0,9.0,2.0,4.0,1.0,2.0,5.0,Yes,No,"I think a 16-year-old is responsible enough to vote for local issues that affect them more directly, and a way to do this should be by lowering the local voting age. However, I think that the federal voting age should stay the same because federal issues are more important for world politics, and it should probably be decided by people who are more mature.",5.0,4.0,2.0,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,4.84,,0.0,66.7,29.4,None (0),4,Local only
69,Faculty,,,4.0,4.0,,,,Unsure,Unsure,Many teens are not yet aware of the patterns  of economics and finances.,,3.0,2.0,,"Traditional news (NYT, WSJ, SF Chronicle), Other",Mathematics,11–20,,"Many of my students get their information based on current events or social media, so that does not provide a rich foundation of knowledge.  Of course, many adults also have a low level of understanding but why add to the voting pool of uninformed voters??",0.0,2.12,3.4,0.0,,,None (0),2,Mixed/Unsure
70,Student,17.0,12.0,2.0,3.0,1.0,1.0,4.0,No,No,The average teenage male's brain is not developed enough to be making thoes kind of decisions at 16. ,5.0,2.0,2.0,,Family or friends,,,,,0.0,0.76,,0.0,58.3,12.0,None (0),1,Neither
71,Student,15.0,9.0,2.0,3.0,1.0,1.0,4.0,Unsure,Unsure,Idk,3.0,3.0,3.0,Likes to post on IG,"Social media (TikTok, Instagram, X), YouTube, Family or friends, School",,,,,0.5,0.0,,0.0,41.7,11.4,Low (0.1-2.9),4,Mixed/Unsure
72,Faculty,,,3.0,4.0,,,,Yes,Yes,"I have a social science background. We know that it is challenging to generate turnout among younger voters, and that they are underrepresented in the electorate (https://www.pewresearch.org/politics/2025/06/26/voter-turnout-2020-2024/). I'm also not so sure that I'm overly concerned about arguments that young people may just follow their parents' preferences. We know that the number one predictor for partisanship is parents' partisanship, so to the extent that it's a concern, it's a concern for all voters. My hope with lowering the voting age would be that by encouraging early voting, voting would become habit forming. If people started voting from age 16, by the time they grow up, voting and civic engagement may become more habitual than they would be otherwise which would be a net good for our democracy. ",,3.0,3.0,,"Social media (TikTok, Instagram, X), YouTube, Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",Mathematics,3–5,"I definitely value the ability to analyze complex issues and data from multiple perspectives. There is a lot of misinformation out there, so I believe its fundamental for voters to be able to think critically about the information that is being presented to them. ","I think there are certainly students who lack the readiness and maturity to vote. However, political knowledge tends to be low in the broader population as well. Tests of political knowledge reveal that a large segment of the electorate tends to make uninformed voting decisions. As such, I'm not sure that problem is unique to students. Furthermore, I would support lowering the voting age in conjunction with improved civics education to better educate students on their responsibilities and how to analyze local and federal elections to make informed decisions based on their values. ",0.0,4.8,8.0,5.67,,,None (0),5,Both
73,Student,17.0,11.0,3.0,3.0,1.0,1.0,3.0,No,No,"If anything, we should raise the voting age. Many are not equipped to make informed decisions at any point in their life, much less at 16. Even at UHS, a highly selective school filled with generally intelligent and capable people, a small percentage are informed enough to make a decision on an election. ",2.0,1.0,1.0,Lurie is highly popular. Working on reducing crime and homelessness. Helping small businesses and returning to common-sense policies. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,5.0,2.72,,0.0,41.7,42.0,Medium (3-5.9),2,Neither
74,Student,16.0,10.0,2.0,3.0,1.0,1.0,5.0,Yes,No,no because it think some people would take it as a joke however i think san francisco kids wouldn't,5.0,3.0,4.0,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,2.8,,0.0,58.3,19.2,None (0),3,Local only
75,Student,16.0,10.0,2.0,3.0,1.0,1.0,4.0,No,No,"I feel like some would just mess around or not do any reasearch and solely base it off of tiktoks, instagrams, or just any socaik media. Kids like myself are easily influenced by social media.",4.0,2.0,2.0,"idk i just see him kinda being an influencer, haven't been keeping up with sf politics.","Social media (TikTok, Instagram, X), Family or friends",,,,,0.5,2.4,,0.0,50.0,19.8,Low (0.1-2.9),2,Neither
76,Student,15.0,9.0,4.0,3.0,1.0,1.0,4.0,No,No,"I feel like when kids are only 16 they are not yet developed enough to make these big decisions, and can still be easily influenced by others around them.",5.0,2.0,3.0,,"Social media (TikTok, Instagram, X), Family or friends, School",,,,,0.0,2.16,,0.0,75.0,23.2,None (0),3,Neither
77,Student,16.0,10.0,4.0,4.0,1.0,1.0,4.0,No,No,"I feel as though many teens my age may act impulsively, and haven't fully figured out who they are yet. I think that teens should first learn who they are through experiences to then vote for the leaders of America. ",3.0,3.0,2.0,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.0,2.64,,0.0,66.7,28.0,None (0),2,Neither
78,Student,14.0,9.0,3.0,4.0,1.0,1.0,3.0,Yes,Yes,"I think it would be important for younger generations to have a say in whats going in the state, and in the country",4.0,4.0,4.0,The current sf mayor is helping out the city a lot more than our previous one,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.5,0.92,,0.0,66.7,20.8,Low (0.1-2.9),4,Both
79,Student,17.0,11.0,2.0,4.0,1.0,1.0,4.0,Yes,Yes,"We have grown our own critical thinking skills and can therefore make decisions on who we think will best represent us in office. As young people, we are disproportionately affected by the long term implications of certain policies and should therefore be allowed a say in them along with older populations who will not be around to face the effects.",3.0,2.0,5.0,Not much besides that he's a democrat ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,1.0,3.6,,0.0,50.0,29.1,Low (0.1-2.9),3,Both
80,Faculty,,,3.0,3.0,,,,Yes,Yes,"I think many 16 year olds are very well educated on politics. Also, if people start voting at age 16, school can provide resources on what it looks like to be an educated voter, how to register, and how to cast a ballot. I think it would bring good habits to students before they leave high school.",,4.0,4.0,,"Traditional news (NYT, WSJ, SF Chronicle)",Mathematics,20+,,I think students are motivated and ready to start voting. ,0.0,3.48,0.4,0.0,,,None (0),1,Both
81,Student,18.0,12.0,5.0,4.0,4.0,4.0,3.0,Unsure,Unsure,A lot of youth aren't well educated or informed about politics so they make dumb decisions sometimes.,5.0,3.0,2.0,"Not representing the interest of minority people, only the wealthy tech-billionaire agenda. Family zoning plan is a big NO because it displaces a lot of low-income families. ","Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,4.0,1.32,,0.0,91.7,42.5,Medium (3-5.9),5,Mixed/Unsure
82,Student,18.0,12.0,2.0,3.0,3.0,2.0,4.0,No,No,I would almost argue that the voting age should be higher than 18 due to the fact that many 18 year olds are in high school and aren’t contributing to society (including myself) in the same way a 30 year old is,1.0,2.0,2.0,,"Social media (TikTok, Instagram, X), Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.0,1.72,,0.0,25.0,15.4,None (0),4,Neither
83,Student,18.0,12.0,4.0,4.0,4.0,3.0,4.0,No,No,Not mature enough,5.0,3.0,3.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,0.12,,0.0,83.3,19.2,None (0),4,Neither
